,Class,Cleaner
5962,-1,Mitt Romney bully disrespectful wants women paid less job
5963,0,GhadahAlghunaim Romney So far bland
5964,-1,MittRomney barackobama joebiden kiss ass Romney lie
5965,-1,Niggas need food stamps Romney taken away fuck TeamObama
5966,-1,A vote Romney vote bullying
5967,-1,I m getting twitter I like explode I deal people Obama killed Romneys idiot run us ground
5968,1,karenegantx I still voting Romney bc Obama Progressive socialist Romney Capitalist far smartest candidate
5969,1,Yes Romney violence reduced single women marry men whatajoke
5970,-1,tazztho Romney gayLOL
5971,-1,Teamundecided Obama seems trusting Romney
5972,0,When Romney says binders full women whatshouldbetchescallme http co l yQb NM
5973,-1,Really wish way make President Governer Romney tell truth No mater
5974,1,MichaelWarhold know niether perfect But Romney lesser two evils And people make comments Obama false
5975,1,WBZNightSide Caller Obama sounded smarmy tonight tried way hard Libya Obama fail Romney won debate mapoli
5976,0,With talk Romney outsourcing China d think would good idea mention Sensata mess NBCPolitics
5977,0,Romney says gvt doesn cr jobs Y blame Obama Y promise create millions jobs
5978,0,Fact Check Rose Garden Obama called act terror Debate HofstraDebate msnbc Romney Obama cnn VeteransForObama
5979,-1,They ain trill lol RT Apollo MH CNN calling Romney lies
5980,-1,My TimeLine lookin like Obama Obama Obama Fuck Romney Obama Obama And hoe talkin bout lonely
5981,1,I adore megynkelly I loved way Romney handled debate I think turn women
5982,0,InterTwitAction US Obama Romney Turn Up Temperature Their Second Debate In charged http co W hem Bf art twitter
5983,-1,If Romney gets elected gonna President Bush Make things worse already
5984,0,ramaxe I read Romney Ryan tax plan It obvious plans best interest America
5985,0,pdslive Romney Madman
5986,0,Hard pick one candidate Obama fucking country Romney really better
5987,0,I floored one point Romney forced position debate moderator Absolutely ridiculous
5988,-1,Mitt Romney Dyke Debate SketchyDeal
5989,-1,NBCPolitics Romney BullyObama President
5990,1,wcnc showing Romney won good margin Debates http co SswWh BE
5991,1,Undecided voters Frank Luntz focus group lean strongly toward Romney Luntz This significant Denver http co LPLKIAUu
5992,0,The tweets Romney never directly answers questions Too funny
5993,0,Really Obama plan hasn helped give Romney chance Plus Israel
5994,1,ways Mitt Romney win Tuesday debate The pressure President Obama turn stellar performance http co GauDs dT
5995,-1,Okay yall say Obama aint anything effect u HOWEVER yall know Romney policies effect u negatively
5996,-1,Who fuck Mitt Romney tell I marry TeamLesbian
5997,0,Seriously could Romney manage bring topic marriage answer question gun control
5998,1,Romney gon win
5999,0,Romney tax plan http co POPevua
6000,1,PIERS MORGAN Mitt Romney might save America http co M g N k
6001,1,Romney closing gap Ohio poll numbers
6002,-1,DarrenNezitic Romney unwittingly played China card early Mitt says Anglo
6003,-1,Everything Romney RECEIVED OR TAKEN BEEN HIDDEN
6004,-1,Mitt Romney pay tax
6005,2,zachbraff I d still vote I bet drugs d still come better plans Mitt Romney
6006,-1,BuzzFeedAndrew Mitt Romney Dodged Taxes http co nWlTMQrR
6007,1,Mitt Romney make national economic decisions us benefit enlarge personal fortune tcot p Conflict Interest
6008,-1,people choice voting people really shouldn look Mitt Romney ijs
6009,1,I bet Mitt Romney kid class reminded teacher homework last night
6010,1,Romney closing gap Ohio poll numbers
6011,-1,SteffCutterClaims stefcutter claims Romney Ryan drink last beer fridge buy elected
6012,2,Contray Yahoo saying Obama continues make gains Ohio Romney according PPP polling http co Gu DMlAG
6013,2,There nothing Romney could save Corp need get vote Obama repeated stuffthatilike BletchTheWalrus
6014,-1,From Mitt Romney face greed
6015,0,UPDATED CROWD SHOT FULL SPEECH Watch Mitt Romney campaign rally Lebanon
6016,0,Obama vs Romney Jobs http co qKH
6017,-1,I stand Mitt Romney
6018,-1,Romney isn going win
6019,-1,Romney windsock man billmaher
6020,2,slone DennisDMZ Romney talks proud American Something Obama never Obama rather blame America everything
6021,-1,USRealityCheck Anyone votes Romney putting blind trust
6022,2,Leaders talk lot If think leading action follow Obama Romney
6023,-1,Lol I know right RT FuNnYPaYaSo Romney robot controlled Satan
6024,2,Obama Romney social media face Hindustan Times http co y yQzr socialmedia
6025,-1,The Milwaukee Wisconsin News Mitt Romney Doesn Care http co IODUyeHH
6026,-1,I mean I m fan Romney
6027,0,Mitt Romney born rich
6028,1,I shook Mitt Romney today I never take shower
6029,0,Alex donated republican super PAC support Romney
6030,-1,Romney looks scary justsaying
6031,-1,Bill Clinton Hammers Romney Warns Voters Not Be Fooled By His Lies http co IYm uAnJ via zite
6032,-1,Mitt Romney hiding secret doesn want know http co H XMU r
6033,2,Literally saw commercial wants America support Obama Romney hates big bird isthisreallife
6034,-1,Mitt Romney gonna cause end world
6035,2,MittRomney PaulRyanVP GOP Obama alone PDB This president need Intel Briefers
6036,-1,Will Romney Kill Clean Energy Hell yes http co X DHW
6037,-1,Mitt Romney Sending Jobs Overseas Right Now While Promising You Jobs Here What Makes You Think That ll Change If He Wins Sensata
6038,-1,Romney position immigration Says When president ll make lives living hell ll running country
6039,-1,Y would u vote Romney Cuz I wouldn
6040,2,fuck Romney fuck Obama Votes admission ignorance
6041,1,xmatt Zogby reported Romney clear advantage Florida gaining speed Ohio
6042,1,washingtonpost Tagg Romney suddenly center attention father campaign http co KqPOOoJN Suggested Hed Tagg
6043,-1,Surprise Romney jerk
6044,0,I wonder Mitt Romney right
6045,-1,Mitt cares gains profits US Sensata Mitt Romney Bain advisers aided China
6046,-1,Ron Paul Won Endorse Romney
6047,-1,Which crime humanity Romney enjoy bankrupting families
6048,0,Mitt Romney winning President would Obamanation
6049,0,BryTupper fragmentally Romney actually multi million dollar fundraiser funds US citizens
6050,-1,Ohio parents doesn want kids school invaded Romney vouchers
6051,-1,OMG local news showing Romney time stand china cheating Oh really Sensata Bainport Stand THAT Romney Liar
6052,-1,IslandTimeOne Why Governments profit taking Romney business skills useless governing
6053,1,Romney gains votes Hollywood
6054,-1,If Romney become president gone start reading Terms Conditions We might fuck around agreeing slavery
6055,-1,Romney save jobs company owns Why believe create million promises sensata tcot Cnn MSNBC
6056,-1,Anyone think Romney answer think We rights never thought serve freely America
6057,2,I d like country better neither Obama Mitt Romney elected president
6058,-1,If bring stamps envelopes I ll mail vote whichever two major candidates isn Mitt Romney like
6059,2,Romney hits Obama China policies http co yuPqgycr via townhallcom
6060,2,Romney And Obama Watch Vice Presidential Debate Together http co BMaBy
6061,-1,Mitt Romney represents worst America
6062,-1,Firearms PolitixFireball I m ignoring Romney good country
6063,-1,I m American whatever Mitt Romney guy fucking dumb Who fuck complains plane windows
6064,-1,Is Mitt Romney Psychologically fit Presidency Video http co MFzaX z
6065,-1,Romney Broke The Law By Raising Money From Foreign Donors Should He Be Disqualified http co kwrufA v via AddInfoOrg
6066,0,A Room Impress Romney Senator Rob Portman took Mitt Romney Ohio inn owns family
6067,-1,Mitt Romney one favourite jokers
6068,2,Romney takes shoot Obama China Hard mess country owe billions make everything use
6069,2,Who would want boss Mitt Romney Barack Obama Boss Elections
6070,-1,That almost bad dream I Mitt Romney got elected
6071,2,Presidential race Barack Obama Mitt Romney energy policies broken The Express Times http co nPNL yM
6072,-1,LamborghiniBow Romney even name ramen noodle flavors
6073,2,Obama v Romney candidate would better tech start ups http co YKORw J
6074,2,So military prefers MittRomney Obama shouldn tell something election
6075,0,J C Moore Who Responsible High Gas Prices During U S presidential debates
6076,2,Obama Romney talk technology policy letters NY Tech Meetup http co jTFpNKf via TheNextWebus
6077,-1,Romney job creator In China Mexico
6078,-1,Romney doesn create anything havoc confusion http co q Dg EXI GetGlue UpWithChrisHayes
6079,-1,Mitt Romney creates jobs way Dick Cheney creates Democracy
6080,0,The Cook Report There No Question
6081,-1,Is investing thing running I contend Mr Romney never held job whose skills transferable presidency uppers
6082,1,G Oct Romney reached highest personal popularity
6083,-1,I find pretty hard justify rich guys like Mitt Romney find clever legal ways loot company THEIF http co piFpFnJX RT
6084,-1,Listening Webster Tarpley get impression Romney huge network supporters within CIA pull strings
6085,-1,PeaceMaker K http co w x yBV Twitter Explodes After Actress Stacey Dash Endorses Romney Only Choice Your Future
6086,1,Christianpost Polls Show Romney Leading Florida
6087,0,MarcHurd want Romney tax returns make sure isn hiding something
6088,0,Obama Supporter Has Words Romney http co CE OUNDx via youtube Is racist
6089,0,I d love know thought This educated
6090,2,Obama campaign paints Romney defense strategy path war http co tHk y Fj
6091,2,Romney tops Obama Georgia economy dominates campaign http co GMqTr OC via sharethis
6092,2,Fewer qualms gun rights groups Romney Gun rights groups perceive President Barack Obama threa http co k JxACIR
6093,0,Rich Kids Romney http co nyQrht via youtube
6094,-1,cspanwj Politicizing Benghazi disgusting Our heroes died Romney playing Pres durin situation simply mark tratior
6095,2,TheGreyHunter Right Romney obama
6096,2,Test Fire Election MRCTV http co ehbAI Rc No Obama Vote Mitt Romney Paul Ryan
6097,-1,If Romney ideas popular Employers wouldn threaten pressure workers vote Not hard look hood VOTE
6098,2,Other personally loathing Romney successful businessman Obama even want president obama tcot
6099,1,Lindsay Lohan endorses Romney
6100,-1,Mitt Romney doesn presidential walk RandomNews
6101,2,Watch Mitt Romney slams Obama labelling China currency manipulator http co JgVPQK y china RT chinanews
6102,1,NBA star Greg Anthony backs Mitt Romney Nevada http co DfYGqM Y
6103,0,I took pic Mitt Romney lmaoo
6104,2,Mitt Romney Barack Obama products prep schools NPRWeekend http co MmM kEMg
6105,2,Here Are The Charts That Should Get Obama Reelected Mitt Romney keeps saying President Obama run http co vVnYkk u
6106,-1,mercury I completely agree Romney harvester Not makes millions backs others destroys
6107,1,I would love see Romney use words cool charming humorous way
6108,2,Romney Obama something tells going crooked stuff going votes tallied http co dKXlB
6109,0,HuffingtonPost Do white people support Romney cause white Is really news story There important things world
6110,-1,Romney even name ramen noodle flavors
6111,1,Gibbs Romney magical theatrical first debate http co jfIcZNfA via POLITICO
6112,1,For economic turnaround vote Romney
6113,2,My current calculations Obama EC votes Romney Iowa close call Though I m overly confident
6114,-1,UKProgressive Can blame Biden women stupid enough support Romney Sorry That
6115,2,New poll polls Romney leads Obama latest polls http co aIc ai via examinercom
6116,1,I ve absent twitter I lost Grandmother I also see Romney making waves polls Excellent
6117,1,I think Im going vote Romney time
6118,0,So election really
6119,0,The view room getting worse A vote yes marriage amendment
6120,2,Facts support Obama charges Romney http co gL AN K http co sytEWsyM
6121,1,Romney wins first round The emperor clothes http co ImH EFZi
6122,1,Sen Rob Portman Romney Probably Could Win Election Without Winning Ohio http co YgZBwGh
6123,2,Stephen Colbert Obama Romney would govern differently
6124,2,Obama understands empathizes solve problems Romney solve problems ppl aren convinced understands FrankLuntz
6125,1,Romney promises make China currency manipulater st day office first good thing I ve heard election
6126,2,Romney Obama Ohio http co NAyNVhc
6127,1,Gravis Polling Results Ohio Poll Romney Leads With Likely Voters Overall
6128,-1,Romney liar http co Zqlvaa http co iduQfLxJAnd Bill Bennett believe ears
6129,2,Obama tells Romney I put record Libya lies disastrous results Iraq War
6130,2,Obama must attack Romney avoid headlines soft
6131,-1,Messina Tell Mitt Romney money may Blind Trust China American people Not Blind
6132,-1,Romney Vice Presidential candidate IDIOT
